,url
264,https://www.coffeereview.com/review/ethiopia-yirgacheffe-elatenecha-natural-g1/
265,https://www.coffeereview.com/review/ethiopia-sidamo-bensa-hamasho-washed-g1/
267,https://www.coffeereview.com/review/ecuador-clara-luz-washed/
289,https://www.coffeereview.com/review/brazil-admilson-jose-galerani-microlot/
309,https://www.coffeereview.com/review/colombia-geisha-charlotte/
314,https://www.coffeereview.com/review/guatemala-honey-acatenango-finca-el-general-bourbon/
377,https://www.coffeereview.com/review/ecuador-maputo-honey/
403,https://www.coffeereview.com/review/ethiopia-yirgacheffe-farmgate/
404,https://www.coffeereview.com/review/biodynamic-washed-geisha/
494,https://www.coffeereview.com/review/guatemala-la-colina/
504,https://www.coffeereview.com/review/burundi-bukeye/
596,https://www.coffeereview.com/review/costa-rica-aquiares-estate/
634,https://www.coffeereview.com/review/winter-2022-allocation-colombia/
674,https://www.coffeereview.com/review/ecuador-finca-indera-geisha-honey/
773,https://www.coffeereview.com/review/finca-el-potrero/
774,https://www.coffeereview.com/review/finca-patzibir/
930,https://www.coffeereview.com/review/colombia-huila-finca-villabetuila-anaerobic-honey/
1012,https://www.coffeereview.com/review/ethiopia-guji-shakiso-g1-honey/
1026,https://www.coffeereview.com/review/kenya-kamgogo-small-lot-reserve/
1046,https://www.coffeereview.com/review/rwanda-gatare-natural/
1127,https://www.coffeereview.com/review/ethiopia-yirgacheffe-adorsi-g1/
1133,https://www.coffeereview.com/review/coe-sidama-bona-74110/
1135,https://www.coffeereview.com/review/ethiopia-yirgacheffe-g1-2/
1193,https://www.coffeereview.com/review/el-socorro-maracaturra-2/
1214,https://www.coffeereview.com/review/ethiopia-bench-maji-natural-gesha/
1217,https://www.coffeereview.com/review/kenya-kainamui-ab/
1228,https://www.coffeereview.com/review/ethiopian-sweet-lily/
1233,https://www.coffeereview.com/review/ethiopia-nano-genji-10/
1249,https://www.coffeereview.com/review/organic-18-rabbits-honduras/
1251,https://www.coffeereview.com/review/bolivia-apolo-latin-america-microlot/
1358,https://www.coffeereview.com/review/brazil-coe/
1363,https://www.coffeereview.com/review/alishan-taiwan/
1651,https://www.coffeereview.com/review/colombia-diofanor-ruiz/
1690,https://www.coffeereview.com/review/peru-el-corazon-gesha/
1838,https://www.coffeereview.com/review/playground-soe-espresso/
1991,https://www.coffeereview.com/review/kenya-embu-gicherori-factory-aa-top/
2141,https://www.coffeereview.com/review/el-salvador-las-mercedes-pacamara-honey-2/
2153,https://www.coffeereview.com/review/guatemala-concepcion-buena-vista/
2211,https://www.coffeereview.com/review/panama-hacienda-la-esmeralda-super-mario-6-geisha/
2396,https://www.coffeereview.com/review/santa-luzia-brazil/
2402,https://www.coffeereview.com/review/porfirio-castellanos-honduras/
2559,https://www.coffeereview.com/review/costa-rica-cumbres-del-poas-perla-negra-natural/
2569,https://www.coffeereview.com/review/static-peru-valle-de-chingama-peru/
2573,https://www.coffeereview.com/review/static-chirinos-peru/
2594,https://www.coffeereview.com/review/dr-congo-fto-bourbon-sopacdi/
2606,https://www.coffeereview.com/review/uganda/
2633,https://www.coffeereview.com/review/lycello-ninety-plus/
2635,https://www.coffeereview.com/review/yemen-microlot/
2637,https://www.coffeereview.com/review/karen-j-red-bourbon/
2638,https://www.coffeereview.com/review/lotus-ninety-plus/
2639,https://www.coffeereview.com/review/kenya-ndnunduri/
2651,https://www.coffeereview.com/review/yemen-port-of-mokha-al-durrar/
2657,https://www.coffeereview.com/review/static-indonesia-toarco-sulawesi/
2662,https://www.coffeereview.com/review/decaf-espresso-2/
2674,https://www.coffeereview.com/review/kona-mocca/
2679,https://www.coffeereview.com/review/congo-kivu/
2680,https://www.coffeereview.com/review/sumatra-tano-batak-5/
2693,https://www.coffeereview.com/review/honduras-david-mancia-2/
2703,https://www.coffeereview.com/review/ethiopia-banko-gotiti/
2715,https://www.coffeereview.com/review/static-kenya-kavutiri/
2725,https://www.coffeereview.com/review/david-mburu-kenya/
2728,https://www.coffeereview.com/review/static-brazil-decaf-midnight/
2731,https://www.coffeereview.com/review/100-kona-bourbon-pointu-laurina-3/
2732,https://www.coffeereview.com/review/kenya-nyeri-othaya-gatugi-red-cherry-project-aa/
2733,https://www.coffeereview.com/review/100-kona-sl-28/
2738,https://www.coffeereview.com/review/panama-elida-green-tip-gesha-natural/
2755,https://www.coffeereview.com/review/ethiopia-kayon-mountain-2/
2763,https://www.coffeereview.com/review/static-el-salvador-finca-maria-luisa/
2775,https://www.coffeereview.com/review/panama-finca-san-sebastian/
2798,https://www.coffeereview.com/review/kenya-nyeri-hill-farm-2/
2800,https://www.coffeereview.com/review/costa-rica-cumbres-del-poas-perla-negra/
2823,https://www.coffeereview.com/review/ethiopia-shakisso/
2827,https://www.coffeereview.com/review/panama-geisha-2/
2837,https://www.coffeereview.com/review/kenya-boma-peaberry/
2851,https://www.coffeereview.com/review/kilenso-ethiopia-natural/
2873,https://www.coffeereview.com/review/sumatra-tanah-karo/
2874,https://www.coffeereview.com/review/dreamlands-blend/
2896,https://www.coffeereview.com/review/rwanda-nyampinga/
2906,https://www.coffeereview.com/review/bourbon-peaberry/
2915,https://www.coffeereview.com/review/wine-barrel-aged-ethiopia/
2919,https://www.coffeereview.com/review/aged-sumatra-ulos-batak-peaberry/
2923,https://www.coffeereview.com/review/costa-rica-microlot-white-honey/
2925,https://www.coffeereview.com/review/hopper-blend-espresso/
2963,https://www.coffeereview.com/review/100-kona-bourbon-pointu-laurina-2/
2964,https://www.coffeereview.com/review/ethiopia-celinga/
3008,https://www.coffeereview.com/review/kahiko-holiday-coffee/
3022,https://www.coffeereview.com/review/mokka/
3024,https://www.coffeereview.com/review/100-kona-high-mountain-io-fancy-2/
3029,https://www.coffeereview.com/review/life-saver-guatemala-organic-finca-santa-rita-2/
3043,https://www.coffeereview.com/review/costa-rica-signature-reserve-don-pepe/
3061,https://www.coffeereview.com/review/mr-david-mburu-kenya/
3066,https://www.coffeereview.com/review/lauras-reserve-sl-28-3/
3068,https://www.coffeereview.com/review/meaza-ethiopia/
3069,https://www.coffeereview.com/review/signature-reserve-don-pepe/
3097,https://www.coffeereview.com/review/colombia-solarte/
3098,https://www.coffeereview.com/review/ethiopia-hambela-natural-6/
3102,https://www.coffeereview.com/review/kenya-karatu/
3115,https://www.coffeereview.com/review/costa-rica-el-aguacate-white-honey/
3116,https://www.coffeereview.com/review/costa-rica-esnider-rodriguez-red-honey/
